shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_0_shp,35.2193573,129.0857894,142
1_0_shp,35.2190946,129.0856001,143
1_0_shp,35.2184664,129.0851129,144
1_0_shp,35.2181101,129.0848193,145
1_0_shp,35.2175931,129.0843822,146
1_0_shp,35.217007,129.0839085,147
1_0_shp,35.216803,129.0837495,148
1_0_shp,35.2165817,129.0835596,149
1_0_shp,35.2164143,129.0833918,150
1_0_shp,35.2162529,129.0832021,151
1_0_shp,35.2161633,129.0830905,152
1_0_shp,35.2160453,129.0829259,153
1_0_shp,35.2157256,129.082395,154
1_0_shp,35.2156527,129.0822896,155
1_0_shp,35.2154286,129.0819497,156
1_0_shp,35.2152753,129.0817354,157
1_0_shp,35.2151354,129.0815548,158
1_0_shp,35.2150046,129.0814098,159
1_0_shp,35.2148674,129.0812684,160
1_0_shp,35.2146671,129.0810818,161
1_0_shp,35.2145326,129.0809596,162
1_0_shp,35.2142964,129.0807803,163
1_0_shp,35.21337,129.0801541,164
1_0_shp,35.2133606,129.0801657,165
1_0_shp,35.2124368,129.0795385,166
1_0_shp,35.2118819,129.0791962,167
1_0_shp,35.2118372,129.0791586,168
1_0_shp,35.2115395,129.0789706,169
1_0_shp,35.2113298,129.0788718,170
1_0_shp,35.2110992,129.0787618,171
1_0_shp,35.2109294,129.0786959,172
1_0_shp,35.2107914,129.0786525,173
1_0_shp,35.2106461,129.0786078,174
1_0_shp,35.2104022,129.0785345,175
1_0_shp,35.2102094,129.078495,176
1_0_shp,35.2100072,129.0784621,177
1_0_shp,35.2095565,129.0784194,178
1_0_shp,35.2092398,129.0784123,179
1_0_shp,35.2077122,129.0784329,180
1_0_shp,35.206547,129.078437,181
1_0_shp,35.206495,129.0784395,182
1_0_shp,35.205308,129.0784539,183
1_0_shp,35.2047243,129.078461,184
1_0_shp,35.2040225,129.0784666,185
1_0_shp,35.2027552,129.0784598,186
1_0_shp,35.202558,129.0784643,187
1_0_shp,35.2023371,129.0784878,188
1_0_shp,35.2021149,129.0785236,189
1_0_shp,35.2019787,129.0785439,190
1_0_shp,35.2017127,129.0786019,191
1_0_shp,35.2002924,129.0789531,192
1_0_shp,35.1973891,129.0796709,193
1_0_shp,35.1967608,129.0798186,194
1_0_shp,35.196106,129.0799135,195
1_0_shp,35.1957151,129.0799272,196
1_0_shp,35.1950199,129.0799309,197
1_0_shp,35.1945497,129.0798772,198
1_0_shp,35.1942335,129.0798141,199
1_0_shp,35.1932168,129.0798097,200
1_0_shp,35.1921734,129.080002,201
1_0_shp,35.1896783,129.0806371,202
1_0_shp,35.1874474,129.0811879,203
1_0_shp,35.1863798,129.081417,204
1_0_shp,35.1858937,129.0813585,205
1_0_shp,35.1855631,129.0811294,206
1_0_shp,35.1809578,129.0774362,207
1_0_shp,35.1789166,129.0757812,208
1_0_shp,35.1776666,129.0748133,209
1_0_shp,35.1740431,129.0719319,210
1_0_shp,35.1711683,129.0696489,211
1_0_shp,35.1695738,129.0683707,212
1_0_shp,35.1685712,129.0675432,213
1_0_shp,35.1669828,129.066398,214
1_0_shp,35.165648,129.0652823,215
1_0_shp,35.1644823,129.0642849,216
1_0_shp,35.1616313,129.0621349,217
1_0_shp,35.1580554,129.0593421,218
1_0_shp,35.1571554,129.0590317,219
1_0_shp,35.1547693,129.0590465,220
1_0_shp,35.1507642,129.0590909,221
1_0_shp,35.1479309,129.0591426,222
1_0_shp,35.1444269,129.0591795,223
1_0_shp,35.1393453,129.0593998,224
1_0_shp,35.1388383,129.059246,225
1_0_shp,35.1384033,129.0590317,226
1_0_shp,35.1377412,129.0583125,227
1_0_shp,35.1368563,129.0568209,228
1_0_shp,35.1350624,129.0549978,229
1_0_shp,35.1323676,129.0522973,230
1_0_shp,35.1301217,129.0500959,231
1_0_shp,35.1250337,129.0449188,232
1_0_shp,35.1239786,129.0443672,233
1_0_shp,35.1165855,129.0404292,234
1_0_shp,35.1156246,129.0398644,235
1_0_shp,35.1147805,129.0393683,236
1_0_shp,35.1132531,129.0387148,237
1_0_shp,35.1093235,129.0371023,238
1_0_shp,35.1076364,129.036313,239
1_0_shp,35.1067965,129.0361274,240
1_0_shp,35.1051947,129.0362161,241
1_0_shp,35.1015378,129.0364082,242
1_0_shp,35.0994705,129.0365264,243
1_0_shp,35.0990171,129.036253,244
1_0_shp,35.0981345,129.0354625,245
1_0_shp,35.0978988,129.034502,246
1_0_shp,35.0977356,129.0337705,247
1_0_shp,35.0978504,129.0328765,248
1_0_shp,35.0983824,129.0307191,249
1_0_shp,35.0983038,129.0302093,250
